PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Steinbichler, TB; Dudas, J; Skvortsov, S; Ganswindt, U; Riechelmann, H; Skvortsova, II				Steinbichler, Teresa Bernadette; Dudas, Jozsef; Skvortsov, Sergej; Ganswindt, Ute; Riechelmann, Herbert; Skvortsova, Ira-Ida			Therapy resistance mediated by cancer stem cells	SEMINARS IN CANCER BIOLOGY												Cancer stem cells (CSC) possess abilities generally associated with embryonic or adult stem cells, especially self renewal and differentiation. The CSC model assumes that this subpopulation of cells sustains malignant growth, which suggests a hierarchical organization of tumors in which CSCs are on top and responsible for the generation of intratumoral heterogeneity. Effective tumor therapy requires the eradication of CSC as they can support regrowth of the tumor resulting in recurrence. However, eradication of CSC is difficult because they frequently are therapy resistant. Therapy resistance is mediated by the acquisition of dormancy, increased DNA repair and drug efflux capacity, decreased apoptosis as well as the interaction between CSC and their supporting micro-environment, the CSC niche. This review highlights the role of CSC in chemo- and radiotherapy resistance as well as possible ways to overcome CSC mediated therapy resistance.				Skvortsova, Ira-Ida/H-3595-2017; Dudas, Jozsef/AAY-9352-2020	Skvortsova, Ira-Ida/0000-0001-8993-611X; Dudas, Jozsef/0000-0002-9877-3399; Steinbichler, Teresa Bernadette/0000-0002-2666-226X; Ganswindt, Ute/0000-0003-4492-614X												1044-579X	1096-3650				DEC	2018	53				SI		156	167		10.1016/j.semcancer.2018.11.006							WOS:000454368300013	30471331					
J	Jun, BH; Guo, TQ; Libring, S; Chanda, MK; Paez, JS; Shinde, A; Wendt, MK; Vlachos, PP; Solorio, L				Jun, Brian H.; Guo, Tianqi; Libring, Sarah; Chanda, Monica K.; Paez, Juan Sebastian; Shinde, Aparna; Wendt, Michael K.; Vlachos, Pavlos P.; Solorio, Luis			Fibronectin-Expressing Mesenchymal Tumor Cells Promote Breast Cancer Metastasis	CANCERS												Simple Summary For cancer to metastasize, tumor cells must not only invade the local tissue but must also grow and proliferate once they arrive. Tumor cell heterogeneity, the presence of multiple types of cancer cells within a tumor, can increase cell proliferation and invasion through cooperative interactions, increasing the potential for metastasis. We recently found that pro-invasion cancer cells express the protein fibronectin and increase metastasis for pro-growth cancer cells. We investigated this interaction by analyzing these two cell types' migration and survival, both alone and in co-cultures. We find that pro-invasion cells have a protective effect on pro-growth cells, which otherwise die after two days in nutrient-starved conditions. Further, we find that adding soluble fibronectin to pro-growth cells in culture was sufficient to improve survival. However, their survival was higher for co-culturing conditions. These studies highlight the importance of cancer cell heterogeneity and the role of fibronectin in metastasis. Tumor metastasis is connected to epithelial-mesenchymal heterogeneity (EMH) and the extracellular matrix (ECM) within the tumor microenvironment. Mesenchymal-like fibronectin (FN) expressing tumor cells enhance metastasis within tumors that have EMH. However, the secondary tumors are primarily composed of the FN null population. Interestingly, during tumor cell dissemination, the invasive front has more mesenchymal-like characteristics, although the outgrowths of metastatic colonies consist of a more epithelial-like population of cells. We hypothesize that soluble FN provided by mesenchymal-like tumor cells plays a role in supporting the survival of the more epithelial-like tumor cells within the metastatic niche in a paracrine manner. Furthermore, due to a lower rate of proliferation, the mesenchymal-like tumor cells become a minority population within the metastatic niche. In this study, we utilized a multi-parametric cell-tracking algorithm and immunoblotting to evaluate the effect of EMH on the growth and invasion of an isogenic cell series within a 3D collagen network using a microfluidic platform. Using the MCF10A progression series, we demonstrated that co-culture with FN-expressing MCF10CA1h cells significantly enhanced the survival of the more epithelial MCF10CA1a cells, with a two-fold increase in the population after 5 days in co-culture, whereas the population of the MCF10CA1a cells began to decrease after 2.5 days when cultured alone (p< 0.001). However, co-culture did not significantly alter the rate of proliferation for the more mesenchymal MCF10CA1h cells. Epithelial tumor cells not only showed prolonged survival, but migrated significantly longer distances (350 mu m compared with 150 mu m, respectively,p< 0.01) and with greater velocity magnitude (4.5 mu m/h compared with 2.1 mu m/h, respectively,p< 0.001) under co-culture conditions and in response to exogenously administered FN. Genetic depletion of FN from the MCF10CA1h cells resulted in a loss of survival and migration capacity of the epithelial and mesenchymal populations. These data suggest that mesenchymal tumor cells may function to support the survival and outgrowth of more epithelial tumor cells within the metastatic niche and that inhibition of FN production may provide a valuable target for treating metastatic disease.				; Shinde, Aparna/AAN-7813-2020; Vlachos, Pavlos P/G-3779-2010	Libring, Sarah/0000-0001-8336-5862; Wendt, Mike/0000-0002-3665-7413; Shinde, Aparna/0000-0002-0822-1313; Guo, Tianqi/0000-0002-1690-5897; Chanda, Monica/0000-0003-1232-7759; Vlachos, Pavlos P/0000-0002-8040-9257													2072-6694				SEP	2020	12	9							2553	10.3390/cancers12092553							WOS:000579950000001	32911713					
J	Tachtsidis, A; Le, AVP; Blick, T; Gunasinghe, D; De Sousa, E; Waltham, M; Dobrovic, A; Thompson, EW				Tachtsidis, Anthony; Le, Anh Viet-Phuong; Blick, Tony; Gunasinghe, Devika; De Sousa, Emma; Waltham, Mark; Dobrovic, Alex; Thompson, Erik W.			Human-specific RNA analysis shows uncoupled epithelial-mesenchymal plasticity in circulating and disseminated tumour cells from human breast cancer xenografts	CLINICAL & EXPERIMENTAL METASTASIS												Blood samples, bone marrow, tumours and metastases where possible were collected from SCID mice bearing orthotopic xenografts of the triple-negative MDA-MB-468 cell line or a transplantable ER-positive patient derived xenograft (ED-03), and assessed using human-specific, tandem-nested RT-qPCR for markers relating to detection of circulating (CTCs) and disseminated tumour cells (DTCs), breast cancer clinicopathology, the 'cancer stem cell' phenotype, metabolism, hypoxia and epithelial-mesenchymal plasticity (EMP). Increased levels of SNAI1, ILK, NOTCH1, CK20, and PGR, and a decrease/loss of EPCAM in CTCs/DTCs were observed relative to the primary xenograft across both models. Decreased CD24 and EGFR was restricted to the MDA-MB-468 model, while increased TFF1 was seen in the ED-03 model. The major metabolic regulator PPARGC1A, and several hypoxia-related markers (HIF1A, APLN and BNIP3) were significantly elevated in both models. Increased expression of mesenchymal markers including SNAI1 was seen across both models, however CDH1 did not decrease concordantly, and several other epithelial markers were increased, suggesting an uncoupling of EMP to produce an EMP hybrid or partial-EMT. Single cell analysis of ED-03 CTCs, although limited, indicated uncoupling of the EMP axis in single hybrid cells, rather than distinct pools of epithelial or mesenchymal-enriched cells, however dynamic heterogeneity between CTCs/DTCs cannot be ruled out. Reduced CD24 expression was observed in the MDA-MB-468 CTCs, consistent with the 'breast cancer stem cell' phenotype, and metastatic deposits in this model mostly resembled the primary xenografts, consistent with the mesenchymal-epithelial transition paradigm.				Thompson, Erik Walter/A-1425-2009	Thompson, Erik Walter/0000-0002-9723-4924												0262-0898	1573-7276				AUG	2019	36	4					393	409		10.1007/s10585-019-09977-y							WOS:000474394200010	31190270					
J	Ducret, M; Fabre, H; Degoul, O; Atzeni, G; McGuckin, C; Forraz, N; Mallein-Gerin, F; Perrier-Groult, E; Alliot-Licht, B; Farges, JC				Ducret, Maxime; Fabre, Hugo; Degoul, Olivier; Atzeni, Gianluigi; McGuckin, Colin; Forraz, Nico; Mallein-Gerin, Frederic; Perrier-Groult, Emeline; Alliot-Licht, Brigitte; Farges, Jean-Christophe			Immunophenotyping Reveals the Diversity of Human Dental Pulp Mesenchymal Stromal Cells In vivo and Their Evolution upon In vitro Amplification	FRONTIERS IN PHYSIOLOGY												Mesenchymal stromal/stem cells (MSCs) from human dental pulp (DP) can be expanded in vitro for cell-based and regenerative dentistry therapeutic purposes. However, their heterogeneity may be a hurdle to the achievement of reproducible and predictable therapeutic outcomes. To get a better knowledge about this heterogeneity, we designed a flow cytometric strategy to analyze the phenotype of DP cells in vivo and upon in vitro expansion with stem cell markers. We focused on the CD31(-) cell population to exclude endothelial and leukocytic cells. Results showed that the in vivo CD31(-) DP cell population contained 1.4% of CD56(+), 1.5% of CD146(+), 2.4% of CD271(+) and 6.3% of MSCA-1(+) cells but very few Stro-1(+) cells (<= 1%). CD56(+), CD146(+), CD271(+), and MSCA-1(+) cell subpopulations expressed various levels of these markers. CD146(+)MSCA-1(+), CD271(+)MSCA-1(+), and CD146(+)CD271(+) cells were the most abundant DP-MSC populations. Analysis of DP-MSCs expanded in vitro with a medicinal manufacturing approach showed that CD146 was expressed by about 50% of CD56(+), CD271(+), MSCA-1(+), and Stro-1(+) cells, and MSCA-1 by 15-30% of CD56(+), CD146(+), CD271(+), and Stro-1(+) cells. These ratios remained stable with passages. CD271 and Stro-1 were expressed by,,1% of the expanded cell populations. Interestingly, the percentage of CD56 (+) cells strongly increased from P1 (25%) to P4 (80%) both in all sub-populations studied. CD146(+)CD56(+), MSCA-1(+)CD56(+), and CD146(+)MSCA-1(+) cells were the most abundant DP MSCs at the end of P4. These results established that DP-MSCs constitute a heterogeneous mixture of cells in pulp tissue in vivo and in culture, and that their phenotype is modified upon in vitro expansion. Further studies are needed to determine whether co expression of specific MSC markers confers DP cells specific properties that could be used for the regeneration of human tissues, including the dental pulp, with standardized cell-based medicinal products.				FARGES, Jean-Christophe/AAL-6969-2021; ducret, maxime/AAN-9776-2021	Fabre, Hugo/0000-0002-3214-6878; Perrier-Groult, Emeline/0000-0002-0252-8461												1664-042X					NOV 8	2016	7								512	10.3389/fphys.2016.00512							WOS:000387060900001	27877132					
J	Kotova, PD; Sysoeva, VY; Rogachevskaja, OA; Bystrova, MF; Kolesnikova, AS; Tyurin-Kuzmin, PA; Fadeeva, JI; Tkachuk, VA; Kolesnikov, SS				Kotova, Polina D.; Sysoeva, Veronika Yu.; Rogachevskaja, Olga A.; Bystrova, Marina F.; Kolesnikova, Alisa S.; Tyurin-Kuzmin, Pyotr A.; Fadeeva, Julia I.; Tkachuk, Vsevolod A.; Kolesnikov, Stanislav S.			Functional expression of adrenoreceptors in mesenchymal stromal cells derived from the human adipose tissue	BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH												Cultured mesenchymal stromal cells (MSCs) from different sources represent a heterogeneous population of proliferating non-differentiated cells that contains multipotent stem cells capable of originating a variety of mesenchymal cell lineages. Despite tremendous progress in MSC biology spurred by their therapeutic potential, current knowledge on receptor and signaling systems of MSCs is mediocre. Here we isolated MSCs from the human adipose tissue and assayed their responsivity to GPCR agonists with Ca2+ imaging. As a whole, a MSC population exhibited functional heterogeneity. Although a variety of first messengers was capable of stimulating Ca2+ signaling in MSCs, only a relatively small group of cells was specifically responsive to the particular GPCR agonist, including noradrenaline. RT-PCR and immunocytochemistry revealed expression of alpha 1B-, alpha 2A-, and beta 2-adrenoreceptors in MSCs. Their sensitivity to subtype-specific adrenergic agonists/antagonists and certain inhibitors of Ca2+ signaling indicated that largely the alpha 2A-isoform coupled to PLC endowed MSCs with sensitivity to noradrenaline. The all-or-nothing dose-dependence was characteristic of responsivity of robust adrenergic MSCs. Noradrenaline never elicited small or intermediate responses but initiated large and quite similar Ca2+ transients at all concentrations above the threshold. The inhibitory analysis and Ca2+ uncaging implicated Ca2+-induced Ca2+ release (CICR) in shaping Ca2+ signals elicited by noradrenaline. Evidence favored IP3 receptors as predominantly responsible for CICR. Based on the overall findings, we inferred that adrenergic transduction in MSCs includes two fundamentally different stages: noradrenaline initially triggers a local and relatively small Ca2+ signal, which next stimulates CICR, thereby being converted into a global Ca2+ signal. (C) 2014 Elsevier B.V. All rights reserved.				Sysoeva, Veronika/ABA-1184-2021; Bystrova, Marina F./C-7851-2015; Tyurin-Kuzmin, Pyotr A./A-8193-2014; Kotova, Polina D/M-2567-2016; Rogachevskaya, Olga A/C-7458-2015; Kolesnikov, Stasnislav S/C-8468-2015	Sysoeva, Veronika/0000-0001-9885-9056; Bystrova, Marina F./0000-0001-5605-9966; Tyurin-Kuzmin, Pyotr A./0000-0002-1901-1637; Rogachevskaya, Olga A/0000-0001-9204-2387; Tkachuk, Vsevolod/0000-0002-7492-747X												0167-4889	1879-2596				SEP	2014	1843	9					1899	1908		10.1016/j.bbamcr.2014.05.002							WOS:000339535300011	24841820					
J	Huang, ZJ; Wu, TT; Liu, AY; Ouyang, GL				Huang, Zhengjie; Wu, Tiantian; Liu, Allan Yi; Ouyang, Gaoliang			Differentiation and transdifferentiation potentials of cancer stem cells	ONCOTARGET												Tumor cells actively contribute to constructing their own microenvironment during tumorigenesis and tumor progression. The tumor microenvironment contains multiple types of stromal cells that work together with the extracellular matrix and local and systemic factors to coordinately contribute to tumor initiation and progression. Tumor cells and their stromal compartments acquire many genetic and/or epigenetic alternations to facilitate tumor growth and metastasis. The cancer stem cell (CSC) concept has been widely applied to interpreting tumor initiation, growth, metastasis, dormancy and relapse. CSCs have differentiation abilities to generate the original lineage cells that are similar to their normal stem cell counterparts. Interestingly, recent evidence demonstrates that CSCs also have the potential to transdifferentiate into vascular endothelial cells and pericytes, indicating that CSCs can transdifferentiate into other lineage cells for promoting tumor growth and metastasis in some tissue contexts instead of only recruiting stromal cells from local or distant tissues. Although the transdifferentiation of CSCs into tumor stromal cells provides a new dimension that explains tumor heterogeneity, many aspects of CSC transdifferentiation remain elusive. In this review, we summarize the multi-lineage differentiation and transdifferentiation potentials of CSCs as well as discuss their potential contributions to tumor heterogeneity and tumor microenvironment in tumor progression.																		1949-2553				NOV 24	2015	6	37					39550	39563		10.18632/oncotarget.6098							WOS:000366114400019	26474460					
J	Yang, ZG; Ma, SZ; Cao, R; Liu, L; Cao, CY; Shen, ZH; Fu, X; Yan, L; Wang, Q; Liu, X; Xiao, R				Yang, Zhigang; Ma, Shize; Cao, Rui; Liu, Ling; Cao, Chunyan; Shen, Zhihui; Fu, Xin; Yan, Li; Wang, Qian; Liu, Xia; Xiao, Ran			CD49f(high) Defines a Distinct Skin Mesenchymal Stem Cell Population Capable of Hair Follicle Epithelial Cell Maintenance	JOURNAL OF INVESTIGATIVE DERMATOLOGY												The dermis harbors distinct mesenchymal stem cell (MSC) populations, which play equally important roles as epidermal stem cells in skin homeostasis and regeneration. However, to reliably identify and directly isolate the in vivo counterpart of these cells is still challenging. Using the epidermal stem cell marker CD49f, we defined a CD49f(high) distinct mesenchymal subpopulation in the dermis. In vitro and in vivo differentiation assays, and transcriptome analysis demonstrated that CD49f(high) cells possess neural crest-like cell characteristics. Our results showed that the formation of hair follicle-like budding structure and the expressions of key genes regulating hair follicle development were induced when hair follicle epithelial cells were co-cultured with CD49f(high) cells. We also found that CD49f(high) cells activated Notch signaling in co-cultured hair follicle epithelial cells, whereas the inhibition of Notch signaling resulted in epidermal cyst-like spheres and loss of maintenance of hair follicle epithelial cell characteristics. Furthermore, we identified Itga7 and CD49f as an efficient biomarker panel for direct selection of CD49f(high) skin MSCs. Our results lead to a deeper understanding of heterogeneity and the function of MSCs in the skin and may facilitate potential translational applications of these cells.					Yang, Zhigang/0000-0002-8195-7992												0022-202X	1523-1747				MAR	2020	140	3					544	+		10.1016/j.jid.2019.08.442							WOS:000514849500017	31494092					
J	Sundelacruz, S; Levin, M; Kaplan, DL				Sundelacruz, Sarah; Levin, Michael; Kaplan, David L.			Comparison of the depolarization response of human mesenchymal stem cells from different donors	SCIENTIFIC REPORTS												Bioelectric signaling is currently being explored as a novel regulator of cell processes in non-excitable cells. In particular, stem cells have demonstrated increasing evidence of electrophysiology-mediated regulation of stemness acquisition, proliferation, differentiation, and migration. However, in light of many reports of primary stem cell heterogeneity, it is important to characterize the variability of stem cell response to biophysical manipulations in order to assess the utility of bioelectric modulation as a universal strategy for stem cell control. In this work, human mesenchymal stem cells (hMSCs) from five donors were evaluated for their response to membrane potential (V-mem) depolarization. We compared the inter-donor variability of their osteogenic and adipogenic differentiation potential, as well as their ability to maintain a differentiated phenotype after induction. We identified the markers that responded most consistently across donors and found that calcium deposition and gene expression of bone sialoprotein, lipoprotein lipase, and fatty acid binding protein 4 are the preferred markers for assessing differentiation response to Vmem depolarization. We also note that since there exists variability even among some of these markers, these assays should be performed on any newly acquired hMSC population if their bioelectric properties are to be studied further.				Levin, Michael/A-5918-2011	Levin, Michael/0000-0001-7292-8084												2045-2322					DEC 14	2015	5								18279	10.1038/srep18279							WOS:000366293100001	26658512					
J	Liu, H; Toh, WS; Lu, K; MacAry, PA; Kemeny, DM; Cao, T				Liu, Hua; Toh, Wei Seong; Lu, Kai; MacAry, Paul Anthony; Kemeny, David Michael; Cao, Tong			A subpopulation of mesenchymal stromal cells with high osteogenic potential	JOURNAL OF CELLULAR AND MOLECULAR MEDICINE												Current bone disease therapy with bone marrow-derived mesenchymal stromal cells (MSC) is hampered by low efficiency. Advanced allogeneic studies on well-established mouse genetic and disease models are hindered by difficulties in isolating murine MSC (mMSC). And mMSC prepared from different laboratories exhibit significant heterogeneity. Hence, this study aimed to identify and isolate a sub-population of mMSC at an early passage number with high osteogenic potential. Enrichment of mMSC was achieved by 1-hr silica incubation and negative selection. Approximately 96% of these cells synthesized osteocalcin after 28 days of osteogenic induction in vitro, and displayed a complete dynamic alteration of alkaline phosphatase (ALP) activity with increasing osteogenic maturation and strong mineralization. Moreover, the cells displayed uniform and stable surface molecular profile, long-term survival, fast proliferation in vitro with maintenance of normal karyotype and distinct immunological properties. CD73 was found to be expressed exclusively in osteogenesis but not in adipogenesis. These cells also retained high osteogenic potential upon allogeneic transplantation in an ectopic site by the detection of bone-specific ALP, osteopontin, osteocalcin and local mineralization as early as 12 days after implantation. Hence, these cells may provide a useful source for improving current strategies in bone regenerative therapy, and for characterizing markers defining the putative MSC population.				Tong CAO, iHuman/B-1008-2008; Toh, Wei Seong/K-7720-2013	Tong CAO, iHuman/0000-0002-7994-9627; Toh, Wei Seong/0000-0001-9147-6423; MacAry, Paul/0000-0002-1139-8996													1582-4934				AUG	2009	13	8B					2436	2447		10.1111/j.1582-4934.2009.00793.x							WOS:000208471700001	19508389					
J	Oktem, G; Bilir, A; Uslu, R; Inan, SV; Demiray, SB; Atmaca, H; Ayla, S; Sercan, O; Uysal, A				Oktem, Gulperi; Bilir, Ayhan; Uslu, Ruchan; Inan, Sevinc V.; Demiray, Sirin B.; Atmaca, Harika; Ayla, Sule; Sercan, Ogun; Uysal, Aysegul			Expression profiling of stem cell signaling alters with spheroid formation in CD133(high)/CD44(high) prostate cancer stem cells	ONCOLOGY LETTERS												Cancer stem cells (CSC) isolated from multiple tumor types differentiate in vivo and in vitro when cultured in serum; however, the factors responsible for their differentiation have not yet been identified. The first aim of the present study was to identify CD133(high)/CD44(high) DU145 prostate CSCs and compare their profiles with non-CSCs as bulk counterparts of the population. Subsequently, the two populations continued to be three-dimensional multicellular spheroids. Differentiation was then investigated with stem cell-related genomic characteristics. Polymerase chain reaction array analyses of cell cycle regulation, embryonic and mesenchymal cell lineage-related markers, and telomerase reverse transcriptase (TERT) and Notch signaling were performed. Immunohistochemistry of CD117, Notch1, Jagged1, Delta1, Sox2, c-Myc, Oct4, KLF4, CD90 and SSEA1 were determined in CSC and non-CSC monolayer and spheroid subcultures. Significant gene alterations were observed in the CD133(high)/CD44(high) population when cultured as a monolayer and continued as spheroid. In this group, marked gene upregulation was determined in collagen type 9 a1, Islet1 and cyclin D2. Jagged1, Delta-like 3 and Notch1 were respectively upregulated genes in the Notch signaling pathway. According to immunoreactivity, the staining density of Jagged1, Sox2, Oct4 and Klf-4 increased significantly in CSC spheroids. Isolated CSCs alter their cellular characterization over the course of time and exhibit a differentiation profile while maintaining their former surface antigens at a level of transcription or translation. The current study suggested that this differentiation process may be a mechanism responsible for the malignant process and tumor growth.				Atmaca, Harika/C-7096-2008; Ayla, Sule/AAE-3061-2020; Uslu, Ruchan/C-6855-2008	Uysal, Aysegul/0000-0002-9919-2254; BAKTI DEMIRAY, SIRIN/0000-0002-6261-1267; Uslu, Ruchan/0000-0002-9584-6134; atmaca, harika/0000-0002-8459-4373; Ayla, Sule/0000-0003-2143-5268												1792-1074	1792-1082				JUN	2014	7	6					2103	2109		10.3892/ol.2014.1992							WOS:000336555200071	24932297					
J	Cholewa, D; Stiehl, T; Schellenberg, A; Bokermann, G; Joussen, S; Koch, C; Walenda, T; Pallua, N; Marciniak-Czochra, A; Suschek, CV; Wagner, W				Cholewa, Dominik; Stiehl, Thomas; Schellenberg, Anne; Bokermann, Gudrun; Joussen, Sylvia; Koch, Carmen; Walenda, Thomas; Pallua, Norbert; Marciniak-Czochra, Anna; Suschek, Christoph V.; Wagner, Wolfgang			Expansion of Adipose Mesenchymal Stromal Cells Is Affected by Human Platelet Lysate and Plating Density	CELL TRANSPLANTATION												The composition of mesenchymal stromal cells (MSCs) changes in the course of in vitro culture expansion. Little is known how these cell preparations are influenced by culture media, plating density, or passaging. In this study, we have isolated MSCs from human adipose tissue in culture medium supplemented with either fetal calf serum (FCS) or human platelet lysate (HPL). In addition, culture expansion was simultaneously performed at plating densities of 10 or 10,000 cells/cm(2). The use of FCS resulted in larger cells, whereas HPL significantly enhanced proliferation. Notably, HPL also facilitated expansion for more population doublings than FCS (43 +/- 3 vs. 22 +/- 4 population doubling; p < 0.001), while plating density did not have a significant effect on long-term growth curves. To gain further insight into population dynamics, we conceived a cellular automaton model to simulate expansion of MSCS. It is based on the assumptions that the number of cell divisions is limited and that due to contact inhibition proliferation occurs only at the rim of colonies. The model predicts that low plating densities result in more heterogeneity with regard to cell division history, and favor subpopulations of higher migratory activity. In summary, HPL is a suitable serum supplement for isolation of MSC from adipose tissue and facilitates more population doublings than FCS. Cellular automaton computer simulations provided, additional insights into how complex population dynamics during long-term expansion are affected by plating density and migration.				Stiehl, Thomas/E-2277-2019	Wagner, Wolfgang/0000-0002-1971-3217												0963-6897	1555-3892					2011	20	9					1409	1422		10.3727/096368910X557218							WOS:000298619600008	21396157					
J	Frescaline, G; Bouderlique, T; Huynh, MB; Papy-Garcia, D; Courty, J; Albanese, P				Frescaline, Guilhem; Bouderlique, Thibault; Huynh, Minh Bao; Papy-Garcia, Dulce; Courty, Jose; Albanese, Patricia			Glycosaminoglycans mimetics potentiate the clonogenicity, proliferation, migration and differentiation properties of rat mesenchymal stem cells	STEM CELL RESEARCH												Successful use of stem cell-based therapeutic products is conditioned by transplantation of optimized cells in permissive microenvironment. Mesenchymal stem cell (MSC) fates are tightly regulated by humoral factors, cellular interactions and extracellular matrix (ECM) components, such as glycosaminoglycans (GAG), which are complex polysaccharides with structural heterogeneity. During osteogenesis, a temporally controlled expression of particular GAG species is required to interact with specific growth promoting and differentiating factors to regulate their biological activities. As a comparative tool to study natural GAG, we used structurally and functionally related synthetic GAG mimetics. One of these compounds [OTR4120] was previously shown to stimulate bone repair in rat models. Here, we demonstrate that structurally distinct GAG mimetics stimulate differentially clonogenicity, proliferation, migration and osteogenic phenotype of MSC in vitro, according to their specific chemical signature, underlying the role of sulfate and acetyl groups in specific interactions with heparin binding factors (HBF). These effects are dependent on FGF-2 interactions since they are inhibited by a FGF receptor 1 signaling pathway blocker. These data suggest that the in vivo [OTR4120] bone regenerative effect could be due to its ability to induce MSC migration and osteogenic differentiation. To conclude, we provide evidences showing that GAG mimetics may have great interest for bone regeneration therapy and represent an alternative to exogenous growth factor treatments to optimize potential therapeutic properties of MSC. (C) 2011 Elsevier B.V. All rights reserved.				Bouderlique, Thibault/E-6780-2017; Courty, Jose/Q-3702-2018	Bouderlique, Thibault/0000-0002-3926-990X; 												1873-5061	1876-7753				MAR	2012	8	2					180	192		10.1016/j.scr.2011.09.005							WOS:000300761900004	22265738					
J	Gyorgy, R; Klontzas, ME; Kostoglou, M; Panoskaltsis, N; Mantalaris, A; Georgiadis, MC				Gyorgy, Romuald; Klontzas, Michail E.; Kostoglou, Margaritis; Panoskaltsis, Nicki; Mantalaris, Athanasios; Georgiadis, Michael C.			Capturing Mesenchyrnal Stem Cell Heterogeneity during Osteogenic Differentiation: An Experimental-Modeling Approach	INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH												Currently, there is an increasing clinical demand for bone implants for several orthopedic and maxillofacial surgical procedures. Meeting these demands can be achieved with stem cells differentiated in vitro toward the osteogenic lineage to produce cells suitable for implantation in critical size bone defects. Toward this end, we present a population balance model (PBM) of the osteogenic differentiation of umbilical cord mesenchymal stem cells. Our experimental-modeling approach describes osteogenesis with a dynamic cell PBM incorporating the expression of key osteogenic genes and the activity of metabolic pathways involved in osteogenesis. In addition to accurately capturing the phenotypic heterogeneity of osteogenic differentiation, the model also predicts a delay for the onset of differentiation when the cells grow faster, thus a trade-off between proliferation and differentiation over the course of in vitro osteoinduction. The mathematical model from this work sets a solid foundation for future model-based culture or reactor optimization.				GYORGY, Romuald/AAT-2231-2021; Klontzas, Michail/I-5671-2019	Klontzas, Michail/0000-0003-2731-933X; kostoglou, Margaritis/0000-0001-7955-0002												0888-5885					AUG 7	2019	58	31					13900	13909		10.1021/acs.iecr.9b01988							WOS:000480496100010						
S	Murphy, C; Mobasheri, A; Tancos, Z; Kobolak, J; Dinnyes, A		Turksen, K		Murphy, Cormac; Mobasheri, Ali; Tancos, Zsuzsanna; Kobolak, Julianna; Dinnyes, Andras			The Potency of Induced Pluripotent Stem Cells in Cartilage Regeneration and Osteoarthritis Treatment	CELL BIOLOGY AND TRANSLATIONAL MEDICINE, VOL 1: STEM CELLS IN REGENERATIVE MEDICINE: ADVANCES AND CHALLENGES	Advances in Experimental Medicine and Biology											Osteoarthritis (OA) is the most common chronic disabling condition effecting the elderly, significantly impacting an individual patient's quality of life. Current treatment options for OA are focused on pain management and slowing degradation of cartilage. Some modern surgical techniques aimed at encouraging regeneration at defect sites have met with limited long-term success. Mesenchymal stem cells (MSCs) have been viewed recently as a potential tool in OA repair due to their chondrogenic capacity. Several studies have shown success with regards to reducing patient's OA-related pain and discomfort but have been less successful in inducing chondrocyte regeneration. The heterogeneity of MSCs and their limited proliferation capacity also raises issues when developing an off-theshelf treatment for OA. Induced pluripotent stem cell (iPSC) technology, which allows for the easy production of cells capable of prolonged self-renewal and producing any somatic cell type, may overcome those limitations. Patient derived iPSCs can also be used to gain new insight into heredity-related OA. Efforts to generate chondrocytes from iPSCs through embryoid bodies or mesenchymal intermediate stages have struggled to produce with optimal functional characteristics. However, iPSCs potential to produce cells for future OA therapies has been supported by iPSC-derived teratomas, which have shown an ability to produce functional, stable articular cartilage. Other iPSCschondrogenic protocols are also improving by incorporating tissue engineering techniques to better mimic developmental conditions.				; Mobasheri, Ali/D-5770-2011; Dinnyes, Andras/D-5131-2013	Kobolak, Julianna/0000-0002-0986-9517; Mobasheri, Ali/0000-0001-6261-1286; Dinnyes, Andras/0000-0003-3791-2583												0065-2598	2214-8019	978-3-319-93867-7; 978-3-319-93866-0				2018	1079						55	68		10.1007/5584_2017_141	10.1007/978-3-319-93867-7						WOS:000457208000005	29270885					
